subject,session,run,trial_nr,n,response,range,response_time
01,1,8,12,12.0,17.0,wide,0.6506902000000991
01,1,8,13,28.0,26.0,wide,0.0333258000000569
01,1,8,14,13.0,17.0,wide,1.5183662999997978
01,1,8,15,27.0,31.0,wide,0.3668538000001717
01,1,8,16,13.0,21.0,wide,0.6341886999998678
01,1,8,17,18.0,22.0,wide,1.4013512999999875
01,1,8,18,37.0,33.0,wide,1.5181867000001148
01,1,8,19,19.0,21.0,wide,0.1636797999999544
01,1,8,20,20.0,21.0,wide,1.5681984000002558
01,1,8,21,38.0,33.0,wide,0.4804082999999082
01,1,8,22,17.0,18.0,wide,0.7808950999997251
01,1,8,23,39.0,31.0,wide,0.7972530999995797
01,1,8,24,17.0,21.0,wide,1.11440550000043
01,1,8,25,31.0,31.0,wide,1.1680721999991874
01,1,8,26,37.0,33.0,wide,0.8007643999999345
01,1,8,27,37.0,35.0,wide,1.3181920999995782
01,1,8,28,22.0,23.0,wide,1.5680760999994163
01,1,8,29,28.0,29.0,wide,1.0000914000002012
01,1,8,30,27.0,27.0,wide,0.3168755000006058
01,2,1,1,34.0,23.0,wide,1.901761799999804
01,2,1,2,17.0,16.0,wide,1.384994399999414
01,2,1,3,10.0,10.0,wide,0.7340069000019867
01,2,1,4,15.0,18.0,wide,1.385046199997305
01,2,1,5,15.0,19.0,wide,1.9855938000000608
01,2,1,6,15.0,22.0,wide,1.935236299999815
01,2,1,7,11.0,15.0,wide,1.3677592000021832
01,2,1,8,32.0,35.0,wide,1.1678036999983306
01,2,1,9,29.0,31.0,wide,0.4504081999984919
01,2,1,10,21.0,26.0,wide,0.9179662000024108
01,2,1,11,32.0,33.0,wide,0.9641861999989488
01,2,1,12,27.0,28.0,wide,1.9186502999982624
01,2,1,13,24.0,26.0,wide,1.1143513999995776
01,2,1,14,17.0,22.0,wide,1.881249599999137
01,2,1,15,32.0,28.0,wide,1.117789799998718
01,2,1,16,36.0,33.0,wide,0.9475089000006848
01,2,1,17,36.0,33.0,wide,0.4805242999973416
01,2,1,18,17.0,,wide,
01,2,1,19,27.0,18.0,wide,0.7504990000015823
01,2,1,20,19.0,21.0,wide,1.651708500001405
01,2,1,21,12.0,12.0,wide,0.1168155999985174
01,2,1,22,34.0,32.0,wide,1.41835120000178
01,2,1,23,13.0,11.0,wide,0.8841219999994792
01,2,1,24,19.0,22.0,wide,1.9019932999981393
01,2,1,25,23.0,23.0,wide,0.13368100000298
01,2,1,26,32.0,31.0,wide,2.0520409000018844
01,2,1,27,21.0,22.0,wide,1.0679055999971752
01,2,1,28,18.0,19.0,wide,2.1523869000011473
01,2,1,29,18.0,19.0,wide,1.5842698000014934
01,2,1,30,15.0,22.0,wide,0.8672703000011097
01,2,2,1,22.0,24.0,wide,1.4514950000011595
01,2,2,2,27.0,28.0,wide,1.0476089000003412
