subject,format,run,trial_nr,p1,p2,n1,n2,choice
2,symbolic,1,12,1.0,0.55,5,7,False
2,symbolic,1,13,1.0,0.55,7,14,True
2,symbolic,1,14,1.0,0.55,14,56,True
2,symbolic,1,15,1.0,0.55,20,24,False
2,symbolic,1,16,1.0,0.55,14,33,True
2,symbolic,1,17,1.0,0.55,20,34,False
2,symbolic,1,18,1.0,0.55,28,33,False
2,symbolic,1,19,1.0,0.55,10,40,True
2,symbolic,1,20,1.0,0.55,28,94,True
2,symbolic,1,21,1.0,0.55,20,22,False
2,symbolic,1,22,1.0,0.55,14,24,False
2,symbolic,1,23,1.0,0.55,7,20,True
2,symbolic,1,24,1.0,0.55,7,28,True
2,symbolic,1,25,1.0,0.55,10,12,False
2,symbolic,1,26,1.0,0.55,20,57,True
2,symbolic,1,27,1.0,0.55,7,10,False
2,symbolic,1,28,1.0,0.55,10,40,True
2,symbolic,1,29,1.0,0.55,14,33,True
2,symbolic,1,30,1.0,0.55,10,34,True
2,symbolic,1,31,1.0,0.55,7,24,True
2,symbolic,1,32,1.0,0.55,7,17,True
2,symbolic,1,33,1.0,0.55,14,33,True
2,symbolic,1,34,1.0,0.55,5,12,True
2,symbolic,1,35,1.0,0.55,14,28,True
2,symbolic,1,36,1.0,0.55,10,34,True
2,symbolic,1,37,1.0,0.55,5,14,True
2,symbolic,1,38,1.0,0.55,5,6,False
2,symbolic,1,39,1.0,0.55,7,14,True
2,symbolic,1,40,1.0,0.55,28,40,False
2,symbolic,1,41,1.0,0.55,28,30,False
2,symbolic,1,42,1.0,0.55,5,8,False
2,symbolic,1,43,1.0,0.55,20,80,True
2,symbolic,1,44,1.0,0.55,14,33,True
2,symbolic,1,45,1.0,0.55,28,30,False
2,symbolic,1,46,1.0,0.55,28,30,False
2,symbolic,1,47,1.0,0.55,20,24,False
2,symbolic,1,48,1.0,0.55,20,67,True
2,symbolic,2,49,1.0,0.55,28,56,True
2,symbolic,2,50,1.0,0.55,14,15,False
2,symbolic,2,51,1.0,0.55,10,40,True
2,symbolic,2,52,1.0,0.55,7,17,True
2,symbolic,2,53,1.0,0.55,7,17,True
