subject,format,run,trial_nr,p1,p2,n1,n2,choice
2,symbolic,2,54,1.0,0.55,5,10,True
2,symbolic,2,55,1.0,0.55,20,40,True
2,symbolic,2,56,1.0,0.55,5,14,True
2,symbolic,2,57,1.0,0.55,7,12,False
2,symbolic,2,58,1.0,0.55,7,9,False
2,symbolic,2,59,1.0,0.55,10,14,False
2,symbolic,2,60,1.0,0.55,14,15,False
2,symbolic,2,61,1.0,0.55,20,22,False
2,symbolic,2,62,1.0,0.55,28,112,True
2,symbolic,2,63,1.0,0.55,20,22,False
2,symbolic,2,64,1.0,0.55,28,79,True
2,symbolic,2,65,1.0,0.55,14,24,True
2,symbolic,2,66,1.0,0.55,5,8,False
2,symbolic,2,67,1.0,0.55,10,20,True
2,symbolic,2,68,1.0,0.55,5,14,True
2,symbolic,2,69,1.0,0.55,10,34,True
2,symbolic,2,70,1.0,0.55,28,94,True
2,symbolic,2,71,1.0,0.55,20,28,False
2,symbolic,2,72,1.0,0.55,14,56,True
2,symbolic,2,73,1.0,0.55,20,67,True
2,symbolic,2,74,1.0,0.55,5,8,False
2,symbolic,2,75,1.0,0.55,10,20,True
2,symbolic,2,76,1.0,0.55,5,17,True
2,symbolic,2,77,1.0,0.55,10,11,False
2,symbolic,2,78,1.0,0.55,28,29,False
2,symbolic,2,79,1.0,0.55,7,9,False
2,symbolic,2,80,1.0,0.55,28,112,True
2,symbolic,2,81,1.0,0.55,14,20,False
2,symbolic,2,82,1.0,0.55,10,40,True
2,symbolic,2,83,1.0,0.55,14,24,False
2,symbolic,2,84,1.0,0.55,28,56,True
2,symbolic,2,85,1.0,0.55,7,28,True
2,symbolic,2,86,1.0,0.55,20,34,False
2,symbolic,2,87,1.0,0.55,20,40,True
2,symbolic,2,88,1.0,0.55,20,34,False
2,symbolic,2,89,1.0,0.55,14,20,False
2,symbolic,2,90,1.0,0.55,10,34,True
2,symbolic,2,91,1.0,0.55,7,20,True
2,symbolic,2,92,1.0,0.55,14,16,False
2,symbolic,2,93,1.0,0.55,5,6,False
2,symbolic,2,94,1.0,0.55,7,20,True
2,symbolic,2,95,1.0,0.55,5,17,True
2,symbolic,2,96,1.0,0.55,28,79,True
2,symbolic,3,97,1.0,0.55,7,8,False
2,symbolic,3,98,1.0,0.55,5,6,False
2,symbolic,3,99,1.0,0.55,10,40,True
2,symbolic,3,100,1.0,0.55,5,6,False
2,symbolic,3,101,1.0,0.55,10,34,True
2,symbolic,3,102,1.0,0.55,10,12,False
2,symbolic,3,103,1.0,0.55,28,56,True
2,symbolic,3,104,1.0,0.55,28,67,True
2,symbolic,3,105,1.0,0.55,28,33,False
2,symbolic,3,106,1.0,0.55,28,47,False
2,symbolic,3,107,1.0,0.55,14,28,True
2,symbolic,3,108,1.0,0.55,20,22,False
2,symbolic,3,109,1.0,0.55,14,24,False
2,symbolic,3,110,1.0,0.55,20,34,False
2,symbolic,3,111,1.0,0.55,14,56,True
2,symbolic,3,112,1.0,0.55,14,24,False
2,symbolic,3,113,1.0,0.55,20,67,True
2,symbolic,3,114,1.0,0.55,7,24,True
2,symbolic,3,115,1.0,0.55,10,20,True
2,symbolic,3,116,1.0,0.55,5,14,True
2,symbolic,3,117,1.0,0.55,5,12,True
2,symbolic,3,118,1.0,0.55,7,10,False
2,symbolic,3,119,1.0,0.55,20,34,False
2,symbolic,3,120,1.0,0.55,7,28,True
2,symbolic,3,121,1.0,0.55,5,7,False
2,symbolic,3,122,1.0,0.55,28,79,False
2,symbolic,3,123,1.0,0.55,20,40,True
2,symbolic,3,124,1.0,0.55,14,15,False
2,symbolic,3,125,1.0,0.55,10,14,False
2,symbolic,3,126,1.0,0.55,20,67,True
2,symbolic,3,127,1.0,0.55,10,24,True
2,symbolic,3,128,1.0,0.55,14,15,False
2,symbolic,3,129,1.0,0.55,20,67,True
2,symbolic,3,130,1.0,0.55,28,94,True
2,symbolic,3,131,1.0,0.55,28,47,False
2,symbolic,3,132,1.0,0.55,7,12,False
2,symbolic,3,133,1.0,0.55,10,14,False
2,symbolic,3,134,1.0,0.55,10,28,True
2,symbolic,3,135,1.0,0.55,14,17,False
2,symbolic,3,136,1.0,0.55,5,10,True
2,symbolic,3,137,1.0,0.55,14,47,True
2,symbolic,3,138,1.0,0.55,28,79,True
2,symbolic,3,139,1.0,0.55,7,17,True
2,symbolic,3,140,1.0,0.55,7,24,True
2,symbolic,3,141,1.0,0.55,20,57,True
2,symbolic,3,142,1.0,0.55,5,7,False
2,symbolic,3,143,1.0,0.55,7,28,True
2,symbolic,3,144,1.0,0.55,5,20,True
2,symbolic,4,145,1.0,0.55,7,17,True
