subject,session,mapping,run,trial_nr,orientation,value,reward,response,response_time
2,1,cdf,5,105,7.5,5.5,42.0,5.5,2.1458145000001423
2,1,cdf,5,106,15.0,8.0,42.0,10.5,1.8871457000000191
2,1,cdf,5,107,172.5,38.5,51.5,37.5,2.511340999999902
2,1,cdf,5,108,22.5,10.0,42.0,11.0,2.0524789999999484
2,1,cdf,5,109,127.5,31.5,50.0,31.0,1.381354599999895
2,1,cdf,5,110,75.0,16.0,42.0,16.0,2.4304334999999355
2,1,cdf,5,111,135.0,32.0,57.0,33.0,1.9824650000000472
2,1,cdf,5,112,97.5,25.5,57.5,28.0,2.6774950999999874
2,1,cdf,5,113,105.0,28.0,67.5,25.5,2.7240220000001045
2,1,cdf,5,114,37.5,11.5,42.0,11.0,1.0503092999999808
2,1,cdf,5,115,45.0,12.0,42.0,13.5,2.7835149
2,1,cdf,6,116,15.0,8.0,40.5,10.0,1.9830431000000317
2,1,cdf,6,117,142.5,32.5,42.0,31.5,2.051562299999887
2,1,cdf,6,118,172.5,38.5,76.5,38.5,2.171163400000069
2,1,cdf,6,119,157.5,34.0,49.0,35.5,1.5459814999999253
2,1,cdf,6,120,90.0,22.0,42.0,22.0,2.358799500000032
2,1,cdf,6,121,97.5,25.5,42.0,25.5,1.509562300000198
2,1,cdf,6,122,105.0,28.0,47.0,30.0,2.3303496000000905
2,1,cdf,6,123,75.0,16.0,42.0,16.0,2.60567089999995
2,1,cdf,6,124,120.0,31.0,42.0,32.0,1.8511393999999657
2,1,cdf,6,125,22.5,10.0,48.0,10.5,2.3580637000000024
2,1,cdf,6,126,45.0,12.0,42.0,12.0,2.688941800000066
2,1,cdf,6,127,112.5,30.0,42.0,30.0,1.6272123000003376
2,1,cdf,6,128,165.0,36.0,60.0,36.0,1.945433000000321
2,1,cdf,6,129,52.5,12.5,45.0,16.0,2.1339138000003004
2,1,cdf,6,130,150.0,33.0,42.0,34.5,2.1929933000001256
2,1,cdf,6,131,82.5,18.5,42.0,18.5,2.488329499999963
2,1,cdf,6,132,30.0,11.0,42.0,13.5,2.0044613999998546
2,1,cdf,6,133,7.5,5.5,42.0,5.5,2.782493499999873
2,1,cdf,6,134,37.5,11.5,42.0,14.0,1.7568304000001262
2,1,cdf,6,135,127.5,31.5,44.0,31.0,1.8040922999998656
2,1,cdf,6,136,135.0,32.0,60.0,33.0,2.1576436999998805
2,1,cdf,6,137,60.0,13.0,42.0,16.0,1.9100515999998608
2,1,cdf,6,138,67.5,14.0,43.5,16.0,1.497715800000151
2,1,cdf,7,139,82.5,18.5,42.0,22.0,2.558490000000347
2,1,cdf,7,140,75.0,16.0,42.0,14.0,1.8039598000000296
2,1,cdf,7,141,67.5,14.0,42.0,15.0,2.145894799999951
2,1,cdf,7,142,112.5,30.0,42.0,30.0,1.9339104999999108
2,1,cdf,7,143,52.5,12.5,42.0,14.5,1.9219293999999536
2,1,cdf,7,144,60.0,13.0,49.0,14.0,2.5820364999999583
2,1,cdf,7,145,37.5,11.5,48.0,12.5,2.252031200000147
2,1,cdf,7,146,22.5,10.0,42.0,11.5,2.3697242000002916
2,1,cdf,7,147,157.5,34.0,63.0,36.0,1.3558428000001186
2,1,cdf,7,148,120.0,31.0,0.0,,
2,1,cdf,7,149,7.5,5.5,47.0,5.5,1.485809899999822
2,1,cdf,7,150,105.0,28.0,62.0,28.5,1.6624824000000444
2,1,cdf,7,151,142.5,32.5,48.0,34.0,1.8987319000002572
2,1,cdf,7,152,165.0,36.0,0.0,,
2,1,cdf,7,153,90.0,22.0,55.0,18.5,2.0280219000001125
2,1,cdf,7,154,172.5,38.5,68.0,38.0,1.9456989000000249
2,1,cdf,7,155,97.5,25.5,42.0,26.5,1.638954399999875
2,1,cdf,7,156,150.0,33.0,43.5,34.0,2.1458990000000995
2,1,cdf,7,157,30.0,11.0,42.0,12.0,2.0043720999997277
2,1,cdf,7,158,135.0,32.0,65.5,34.0,2.0868812999997317
2,1,cdf,7,159,45.0,12.0,42.5,14.0,2.4168949999998404
2,1,cdf,7,160,127.5,31.5,61.0,32.0,1.3680402999998478
