subject,run,trial_nr,n1,n2,p1,p2,risky_first,choice,rt
100,4.0,247.0,24.05,11.43,0.55,1.0,True,False,1.2402053000000706
100,4.0,249.0,59.6,27.72,0.55,1.0,True,True,1.3816588999998205
100,4.0,251.0,38.11,22.28,0.55,1.0,True,True,0.7097395000000688
100,4.0,253.0,60.89,15.55,0.55,1.0,True,False,1.0633545000000597
100,4.0,255.0,24.4,6.62,0.55,1.0,True,False,0.8276543000001766
100,4.0,226.0,11.55,14.33,1.0,0.55,False,False,0.886551099999906
100,4.0,228.0,17.84,68.42,1.0,0.55,False,True,0.7450730000000476
100,4.0,230.0,19.45,76.86,1.0,0.55,False,True,0.7922822000000451
100,4.0,232.0,8.07,15.58,1.0,0.55,False,False,1.016469700000016
100,4.0,234.0,9.24,28.6,1.0,0.55,False,True,0.780432799999744
100,4.0,236.0,8.51,29.96,1.0,0.55,False,True,0.721488700000009
100,4.0,238.0,13.9,37.6,1.0,0.55,False,True,0.7451046999999562
100,4.0,240.0,5.98,14.2,1.0,0.55,False,True,0.8040685000000849
100,4.0,242.0,13.44,31.74,1.0,0.55,False,True,0.7215354999998453
100,4.0,244.0,16.05,51.43,1.0,0.55,False,True,0.7097108000002663
100,4.0,246.0,16.87,54.95,1.0,0.55,False,True,0.804047300000093
100,4.0,248.0,5.63,14.45,1.0,0.55,False,True,0.8394157999996423
100,4.0,250.0,9.06,20.18,1.0,0.55,False,True,0.6979790000000321
100,4.0,252.0,16.19,55.45,1.0,0.55,False,True,0.7687000999999327
100,4.0,254.0,19.17,23.93,1.0,0.55,False,False,1.1695193000000472
100,4.0,256.0,8.23,17.55,1.0,0.55,False,True,1.0515829999999369
100,5.0,225.0,12.93,29.41,1.0,0.55,False,True,0.8276264000000992
100,5.0,227.0,15.51,47.51,1.0,0.55,False,True,0.7569185000002108
100,5.0,229.0,9.06,17.53,1.0,0.55,False,False,0.815831899999921
100,5.0,231.0,6.52,20.9,1.0,0.55,False,True,0.7569335999996838
100,5.0,233.0,13.71,41.16,1.0,0.55,False,True,0.7451086999999461
100,5.0,235.0,8.0,16.71,1.0,0.55,False,True,1.0990443000000596
