subject,session,run,trial_nr,n1,n2,p1,p2,choice,rt
02,3t2,7,154,14.0,10.0,0.55,1.0,True,1.7592526016373995
02,3t2,7,155,8.0,5.0,0.55,1.0,False,1.2580410204823238
02,3t2,7,156,8.0,5.0,0.55,1.0,True,2.2938246276585517
02,3t2,7,157,28.0,46.0,1.0,0.55,False,1.0413769805909112
02,3t2,7,158,28.0,32.0,1.0,0.55,False,1.4085365467785778
02,3t2,7,159,5.0,11.0,1.0,0.55,True,1.224919546852533
02,3t2,7,160,5.0,5.0,1.0,0.55,False,1.242337325529178
02,3t2,7,161,20.0,23.0,1.0,0.55,True,1.6090282911204667
02,3t2,7,162,5.0,7.0,1.0,0.55,True,1.1245392721953067
02,3t2,7,163,20.0,33.0,1.0,0.55,True,2.0769511489156685
02,3t2,7,164,28.0,29.0,1.0,0.55,False,1.1083494982958657
02,3t2,7,165,5.0,11.0,1.0,0.55,True,0.62422420986519
02,3t2,7,166,7.0,8.0,1.0,0.55,False,0.8916706922118465
02,3t2,7,167,20.0,20.0,1.0,0.55,True,2.2109453045168266
02,3t2,7,168,10.0,23.0,1.0,0.55,True,1.6261007217044607
02,3t2,8,169,20.0,26.0,1.0,0.55,False,1.613776978059832
02,3t2,8,170,10.0,21.0,1.0,0.55,True,1.209201387057881
02,3t2,8,171,10.0,18.0,1.0,0.55,True,0.9579913879942978
02,3t2,8,172,28.0,37.0,1.0,0.55,True,1.341600492527519
02,3t2,8,173,5.0,7.0,1.0,0.55,False,1.224913218484275
02,3t2,8,174,14.0,29.0,1.0,0.55,True,0.9235596408016136
02,3t2,8,175,10.0,16.0,1.0,0.55,True,1.592711949857403
02,3t2,8,176,20.0,42.0,1.0,0.55,True,0.774193577550264
02,3t2,8,177,10.0,11.0,1.0,0.55,False,1.0743595314716003
02,3t2,8,178,7.0,14.0,1.0,0.55,True,1.358318835845239
02,3t2,8,179,20.0,29.0,1.0,0.55,False,1.3584128573156136
02,3t2,8,180,28.0,41.0,1.0,0.55,False,0.9575366495392076
02,3t2,8,181,18.0,10.0,0.55,1.0,False,0.9911249156594124
02,3t2,8,182,23.0,10.0,0.55,1.0,False,1.3923235688616842
02,3t2,8,183,8.0,7.0,0.55,1.0,True,0.8239716175703791
02,3t2,8,184,33.0,14.0,0.55,1.0,True,2.26110636148681
02,3t2,8,185,5.0,5.0,0.55,1.0,True,2.477097183545027
02,3t2,8,186,29.0,14.0,0.55,1.0,True,1.2752445386932436
02,3t2,8,187,59.0,28.0,0.55,1.0,False,1.2413558257603654
02,3t2,8,188,21.0,10.0,0.55,1.0,False,2.243462569660551
02,3t2,8,189,6.0,5.0,0.55,1.0,True,1.2253438488714892
02,3t2,8,190,16.0,10.0,0.55,1.0,False,1.7263330330879398
02,3t2,8,191,52.0,28.0,0.55,1.0,False,1.6757805213437678
02,3t2,8,192,11.0,10.0,0.55,1.0,True,1.1078281612980732
02,7t2,1,1,19.0,10.0,0.55,1.0,True,1.5441928000072984
02,7t2,1,2,98.0,28.0,0.55,1.0,False,0.8904331999947388
02,7t2,1,3,52.0,20.0,0.55,1.0,False,1.7077154000289596
02,7t2,1,4,66.0,28.0,0.55,1.0,False,0.6897622999968007
02,7t2,1,5,17.0,10.0,0.55,1.0,False,1.3069451000192205
02,7t2,1,6,24.0,7.0,0.55,1.0,False,0.7748586999951073
02,7t2,1,7,13.0,5.0,0.55,1.0,False,1.224684500019109
02,7t2,1,8,98.0,28.0,0.55,1.0,False,0.7236778999795206
02,7t2,1,9,54.0,28.0,0.55,1.0,True,0.9247814000118524
02,7t2,1,10,42.0,20.0,0.55,1.0,True,1.141773500014125
02,7t2,1,11,60.0,28.0,0.55,1.0,False,0.9256698000244796
02,7t2,1,12,66.0,28.0,0.55,1.0,False,0.8902710999827832
02,7t2,1,13,10.0,28.0,1.0,0.55,True,0.9255367000005776
02,7t2,1,14,7.0,24.0,1.0,0.55,True,1.1586788000422814
02,7t2,1,15,7.0,12.0,1.0,0.55,True,1.5581037999945693
