subject,session,stimulation_condition,run,trial_nr,n1,n2,p1,p2,choice,rt
1,1,baseline,6,118,14.0,43.0,1.0,0.55,2.0,1.0282579000003693
1,1,baseline,6,119,7.0,13.0,1.0,0.55,2.0,1.5962395000005927
1,1,baseline,6,120,28.0,69.0,1.0,0.55,1.0,1.5834457000000839
1,2,vertex,1,1,28.0,86.0,1.0,0.55,2.0,1.2396919000002526
1,2,vertex,1,2,7.0,21.0,1.0,0.55,2.0,0.8362194999999701
1,2,vertex,1,3,7.0,21.0,1.0,0.55,2.0,0.9313707000001159
1,2,vertex,1,4,10.0,24.0,1.0,0.55,1.0,1.1351639999998042
1,2,vertex,1,5,20.0,44.0,1.0,0.55,1.0,1.0321610000000874
1,2,vertex,1,6,10.0,27.0,1.0,0.55,2.0,1.4606127000001834
1,2,vertex,1,7,28.0,69.0,1.0,0.55,2.0,1.5011702999999983
1,2,vertex,1,8,10.0,19.0,1.0,0.55,1.0,1.0355183000001347
1,2,vertex,1,9,20.0,39.0,1.0,0.55,2.0,1.735000300000138
1,2,vertex,1,10,14.0,24.0,1.0,0.55,1.0,1.3559925999998086
1,2,vertex,1,11,49.0,28.0,0.55,1.0,2.0,1.3857062999995833
1,2,vertex,1,12,17.0,7.0,0.55,1.0,1.0,1.1313636000000145
1,2,vertex,1,13,13.0,7.0,0.55,1.0,2.0,1.5761294999997517
1,2,vertex,1,14,49.0,28.0,0.55,1.0,2.0,1.3678405000000566
1,2,vertex,1,15,31.0,14.0,0.55,1.0,2.0,1.5829902999998922
1,2,vertex,1,16,44.0,20.0,0.55,1.0,1.0,0.871086600000126
1,2,vertex,1,17,19.0,7.0,0.55,1.0,1.0,0.9487242000000151
1,2,vertex,1,18,35.0,20.0,0.55,1.0,2.0,1.46137009999984
1,2,vertex,1,19,12.0,7.0,0.55,1.0,2.0,0.9732994000000872
1,2,vertex,1,20,21.0,7.0,0.55,1.0,1.0,0.9964135000000169
1,2,vertex,2,21,69.0,28.0,0.55,1.0,1.0,1.2805940999996892
1,2,vertex,2,22,86.0,28.0,0.55,1.0,1.0,0.8827916999998635
1,2,vertex,2,23,27.0,10.0,0.55,1.0,1.0,1.720098599999801
1,2,vertex,2,24,30.0,10.0,0.55,1.0,2.0,1.2368412000000717
1,2,vertex,2,25,86.0,28.0,0.55,1.0,1.0,1.6151688999998441
1,2,vertex,2,26,22.0,10.0,0.55,1.0,2.0,1.5964165000000605
1,2,vertex,2,27,19.0,10.0,0.55,1.0,1.0,1.5988283000001644
1,2,vertex,2,28,34.0,14.0,0.55,1.0,2.0,1.3760048999997565
1,2,vertex,2,29,39.0,20.0,0.55,1.0,2.0,0.6635623000001942
1,2,vertex,2,30,30.0,10.0,0.55,1.0,1.0,1.4058423999999548
1,2,vertex,2,31,7.0,17.0,1.0,0.55,2.0,1.6160664999997607
1,2,vertex,2,32,14.0,31.0,1.0,0.55,1.0,1.7514135000000977
1,2,vertex,2,33,14.0,38.0,1.0,0.55,2.0,1.6215380999996967
1,2,vertex,2,34,7.0,12.0,1.0,0.55,1.0,1.2927220000001682
1,2,vertex,2,35,7.0,15.0,1.0,0.55,,
1,2,vertex,2,36,14.0,27.0,1.0,0.55,2.0,0.9304621000001418
1,2,vertex,2,37,10.0,17.0,1.0,0.55,1.0,1.0991867000002458
1,2,vertex,2,38,28.0,55.0,1.0,0.55,1.0,1.07777249999981
1,2,vertex,2,39,28.0,49.0,1.0,0.55,2.0,1.329109199999948
1,2,vertex,2,40,28.0,62.0,1.0,0.55,2.0,1.503548199999841
1,2,vertex,3,41,7.0,15.0,1.0,0.55,2.0,1.184330900000532
1,2,vertex,3,42,14.0,31.0,1.0,0.55,2.0,1.4860647999994399
1,2,vertex,3,43,20.0,61.0,1.0,0.55,2.0,0.94389240000055
1,2,vertex,3,44,7.0,19.0,1.0,0.55,2.0,1.2326608999992459
1,2,vertex,3,45,28.0,86.0,1.0,0.55,1.0,0.963768599999625
1,2,vertex,3,46,10.0,19.0,1.0,0.55,1.0,1.665396499999602
1,2,vertex,3,47,20.0,55.0,1.0,0.55,2.0,1.1978724000000653
1,2,vertex,3,48,7.0,12.0,1.0,0.55,1.0,1.6122848999993948
1,2,vertex,3,49,10.0,27.0,1.0,0.55,2.0,1.5829826999997465
1,2,vertex,3,50,20.0,55.0,1.0,0.55,1.0,0.9244444000005387
1,2,vertex,3,51,24.0,10.0,0.55,1.0,1.0,1.5189486999997257
1,2,vertex,3,52,43.0,14.0,0.55,1.0,1.0,1.6763688999999147
1,2,vertex,3,53,17.0,10.0,0.55,1.0,2.0,0.8723546000001079
1,2,vertex,3,54,69.0,28.0,0.55,1.0,1.0,1.1753453000000604
1,2,vertex,3,55,12.0,7.0,0.55,1.0,1.0,1.236581500000284
1,2,vertex,3,56,77.0,28.0,0.55,1.0,1.0,1.4251397000007273
1,2,vertex,3,57,15.0,7.0,0.55,1.0,1.0,0.8879218000001856
1,2,vertex,3,58,24.0,14.0,0.55,1.0,2.0,1.0739247000001342
1,2,vertex,3,59,38.0,14.0,0.55,1.0,2.0,1.5153432999995857
1,2,vertex,3,60,39.0,20.0,0.55,1.0,2.0,1.2994392999999604
1,2,vertex,4,61,7.0,13.0,1.0,0.55,2.0,1.8358084999999846
1,2,vertex,4,62,14.0,38.0,1.0,0.55,1.0,1.8776124999995005
1,2,vertex,4,63,20.0,49.0,1.0,0.55,2.0,1.5121054999999544
1,2,vertex,4,64,20.0,35.0,1.0,0.55,1.0,1.5267316999998144
1,2,vertex,4,65,28.0,49.0,1.0,0.55,1.0,0.9832701999994242
1,2,vertex,4,66,10.0,22.0,1.0,0.55,1.0,1.6180058999998437
1,2,vertex,4,67,14.0,43.0,1.0,0.55,2.0,0.8432709999997456
1,2,vertex,4,68,14.0,34.0,1.0,0.55,2.0,1.0374891999999676
1,2,vertex,4,69,20.0,61.0,1.0,0.55,2.0,1.5812643999997817
1,2,vertex,4,70,7.0,17.0,1.0,0.55,1.0,2.0406987000005756
1,2,vertex,4,71,19.0,10.0,0.55,1.0,1.0,1.4884014999997817
1,2,vertex,4,72,77.0,28.0,0.55,1.0,1.0,1.089169499999997
1,2,vertex,4,73,44.0,20.0,0.55,1.0,2.0,1.5992538000000707
1,2,vertex,4,74,27.0,14.0,0.55,1.0,2.0,1.1929936000005625
1,2,vertex,4,75,21.0,7.0,0.55,1.0,1.0,1.0200541000003795
1,2,vertex,4,76,17.0,10.0,0.55,1.0,1.0,1.5870240000003548
1,2,vertex,4,77,55.0,20.0,0.55,1.0,1.0,0.9085418999993635
1,2,vertex,4,78,62.0,28.0,0.55,1.0,2.0,1.2580454999997528
1,2,vertex,4,79,24.0,10.0,0.55,1.0,2.0,1.6041017999996257
1,2,vertex,4,80,24.0,14.0,0.55,1.0,1.0,2.0577969000005396
1,2,vertex,5,81,20.0,39.0,1.0,0.55,1.0,1.4008217999999033
1,2,vertex,5,82,14.0,34.0,1.0,0.55,2.0,1.5749751999992512
1,2,vertex,5,83,14.0,24.0,1.0,0.55,1.0,1.1560385000002498
1,2,vertex,5,84,20.0,44.0,1.0,0.55,2.0,0.951720999999452
1,2,vertex,5,85,10.0,17.0,1.0,0.55,1.0,1.3782172999999602
1,2,vertex,5,86,28.0,62.0,1.0,0.55,2.0,1.7338183999999899
1,2,vertex,5,87,10.0,22.0,1.0,0.55,1.0,0.9600778000003061
1,2,vertex,5,88,20.0,49.0,1.0,0.55,2.0,0.7802765999995103
1,2,vertex,5,89,28.0,77.0,1.0,0.55,2.0,1.0066968999999517
1,2,vertex,5,90,28.0,55.0,1.0,0.55,1.0,1.4232599999995728
1,2,vertex,5,91,17.0,7.0,0.55,1.0,2.0,1.6128584999996747
1,2,vertex,5,92,15.0,7.0,0.55,1.0,1.0,0.9139505999992537
1,2,vertex,5,93,27.0,10.0,0.55,1.0,2.0,1.5629288999998892
1,2,vertex,5,94,49.0,20.0,0.55,1.0,2.0,1.870201899999273
1,2,vertex,5,95,38.0,14.0,0.55,1.0,1.0,0.9437920999998823
1,2,vertex,5,96,35.0,20.0,0.55,1.0,2.0,0.9175869999999122
1,2,vertex,5,97,55.0,28.0,0.55,1.0,2.0,0.9977776999995172
1,2,vertex,5,98,61.0,20.0,0.55,1.0,1.0,0.8833282999994481
1,2,vertex,5,99,19.0,7.0,0.55,1.0,1.0,1.814416700000038
1,2,vertex,5,100,62.0,28.0,0.55,1.0,1.0,2.0808148999994955
1,2,vertex,6,101,43.0,14.0,0.55,1.0,2.0,1.5873711999993247
1,2,vertex,6,102,61.0,20.0,0.55,1.0,1.0,0.6483625999999276
1,2,vertex,6,103,27.0,14.0,0.55,1.0,2.0,1.4276731999998447
1,2,vertex,6,104,55.0,20.0,0.55,1.0,1.0,1.041399700000511
1,2,vertex,6,105,34.0,14.0,0.55,1.0,2.0,1.5410636999995404
1,2,vertex,6,106,31.0,14.0,0.55,1.0,2.0,1.7789893000008448
1,2,vertex,6,107,55.0,28.0,0.55,1.0,2.0,1.2893447000005551
1,2,vertex,6,108,49.0,20.0,0.55,1.0,1.0,1.2179735999998371
1,2,vertex,6,109,22.0,10.0,0.55,1.0,2.0,1.3947189999998955
1,2,vertex,6,110,13.0,7.0,0.55,1.0,2.0,0.803060799999912
1,2,vertex,6,111,28.0,77.0,1.0,0.55,2.0,0.87634970000002
1,2,vertex,6,112,10.0,30.0,1.0,0.55,2.0,1.474347399999715
1,2,vertex,6,113,7.0,19.0,1.0,0.55,2.0,0.8750905000005957
1,2,vertex,6,114,14.0,27.0,1.0,0.55,1.0,1.6381624000005104
1,2,vertex,6,115,20.0,35.0,1.0,0.55,1.0,1.0367196000007084
1,2,vertex,6,116,10.0,30.0,1.0,0.55,2.0,0.9659205999997766
1,2,vertex,6,117,10.0,24.0,1.0,0.55,1.0,2.352912100000111
1,2,vertex,6,118,14.0,43.0,1.0,0.55,2.0,1.8831411000000458
1,2,vertex,6,119,7.0,13.0,1.0,0.55,1.0,1.7732951999996658
1,2,vertex,6,120,28.0,69.0,1.0,0.55,2.0,0.6500544999998965
1,3,ips,1,1,20.0,55.0,1.0,0.55,1.0,1.0083902000001217
1,3,ips,1,2,20.0,39.0,1.0,0.55,1.0,1.3321200000000317
1,3,ips,1,3,10.0,17.0,1.0,0.55,1.0,0.8978929999997831
1,3,ips,1,4,7.0,15.0,1.0,0.55,2.0,0.985060699999849
1,3,ips,1,5,10.0,22.0,1.0,0.55,2.0,1.067714899999828
1,3,ips,1,6,20.0,61.0,1.0,0.55,2.0,0.8413719000000555
1,3,ips,1,7,20.0,44.0,1.0,0.55,1.0,1.2106124000001586
1,3,ips,1,8,20.0,49.0,1.0,0.55,2.0,1.3170691000000119
1,3,ips,1,9,20.0,55.0,1.0,0.55,2.0,0.9540219000001002
1,3,ips,1,10,28.0,86.0,1.0,0.55,2.0,0.6283810000000187
1,3,ips,1,11,30.0,10.0,0.55,1.0,1.0,1.3498696999999993
1,3,ips,1,12,38.0,14.0,0.55,1.0,1.0,0.8168364999997095
1,3,ips,1,13,77.0,28.0,0.55,1.0,1.0,0.887224400000008
1,3,ips,1,14,86.0,28.0,0.55,1.0,1.0,0.7587888000002465
1,3,ips,1,15,55.0,28.0,0.55,1.0,2.0,1.1880515999996533
1,3,ips,1,16,61.0,20.0,0.55,1.0,1.0,0.9568002000000888
1,3,ips,1,17,62.0,28.0,0.55,1.0,2.0,1.5208826999996745
1,3,ips,1,18,55.0,20.0,0.55,1.0,1.0,1.7418328999996788
1,3,ips,1,19,27.0,10.0,0.55,1.0,1.0,1.8425623000002815
1,3,ips,1,20,19.0,10.0,0.55,1.0,2.0,0.9566375999997945
1,3,ips,2,21,14.0,43.0,1.0,0.55,2.0,1.9358680999998796
1,3,ips,2,22,28.0,86.0,1.0,0.55,1.0,0.6661756000003081
1,3,ips,2,23,10.0,17.0,1.0,0.55,1.0,1.6983237999997982
1,3,ips,2,24,10.0,27.0,1.0,0.55,2.0,1.848149800000101
1,3,ips,2,25,7.0,17.0,1.0,0.55,1.0,0.7273384999998882
1,3,ips,2,26,7.0,17.0,1.0,0.55,2.0,1.5538885000000988
1,3,ips,2,27,10.0,19.0,1.0,0.55,2.0,1.4149328999997124
1,3,ips,2,28,7.0,13.0,1.0,0.55,2.0,1.6666770000001634
1,3,ips,2,29,28.0,69.0,1.0,0.55,2.0,0.8970211999999265
1,3,ips,2,30,28.0,55.0,1.0,0.55,1.0,1.4771926000003077
1,3,ips,2,31,49.0,28.0,0.55,1.0,2.0,0.7663670000002014
1,3,ips,2,32,31.0,14.0,0.55,1.0,2.0,1.9947431000000506
1,3,ips,2,33,22.0,10.0,0.55,1.0,2.0,1.6463965000002645
1,3,ips,2,34,39.0,20.0,0.55,1.0,2.0,1.2951453000000583
1,3,ips,2,35,27.0,14.0,0.55,1.0,1.0,1.4199228000002506
1,3,ips,2,36,21.0,7.0,0.55,1.0,1.0,0.7005837000000952
1,3,ips,2,37,61.0,20.0,0.55,1.0,1.0,0.9297596999999769
1,3,ips,2,38,13.0,7.0,0.55,1.0,2.0,1.4160945999997239
1,3,ips,2,39,24.0,10.0,0.55,1.0,2.0,1.8937731999999414
1,3,ips,2,40,39.0,20.0,0.55,1.0,2.0,0.9646342999999433
1,3,ips,3,41,44.0,20.0,0.55,1.0,1.0,0.8947607999998581
1,3,ips,3,42,86.0,28.0,0.55,1.0,1.0,0.9398874000003161
1,3,ips,3,43,12.0,7.0,0.55,1.0,1.0,1.7493899000000965
1,3,ips,3,44,49.0,20.0,0.55,1.0,2.0,1.7194319000000178
1,3,ips,3,45,24.0,14.0,0.55,1.0,2.0,1.0770478999997835
1,3,ips,3,46,31.0,14.0,0.55,1.0,1.0,1.9862459000000854
1,3,ips,3,47,12.0,7.0,0.55,1.0,2.0,1.6113864999997531
1,3,ips,3,48,24.0,10.0,0.55,1.0,2.0,1.8200182999999157
1,3,ips,3,49,17.0,10.0,0.55,1.0,2.0,0.8723008000001755
1,3,ips,3,50,43.0,14.0,0.55,1.0,1.0,0.9833598999998685
1,3,ips,3,51,14.0,38.0,1.0,0.55,2.0,1.9322282999997356
1,3,ips,3,52,10.0,27.0,1.0,0.55,2.0,1.6920577000000776
1,3,ips,3,53,7.0,19.0,1.0,0.55,2.0,1.4839850999996997
1,3,ips,3,54,28.0,62.0,1.0,0.55,1.0,1.9373927000001174
1,3,ips,3,55,7.0,13.0,1.0,0.55,1.0,2.9090064000002087
1,3,ips,3,56,20.0,49.0,1.0,0.55,2.0,1.696144399999838
1,3,ips,3,57,10.0,30.0,1.0,0.55,2.0,1.839569699999629
1,3,ips,3,58,14.0,31.0,1.0,0.55,1.0,2.2794159999998556
1,3,ips,3,59,10.0,24.0,1.0,0.55,2.0,0.9102803999999196
1,3,ips,3,60,20.0,39.0,1.0,0.55,2.0,1.9309994000004735
1,3,ips,4,61,14.0,27.0,1.0,0.55,1.0,1.2564604999997826
1,3,ips,4,62,20.0,61.0,1.0,0.55,2.0,1.4368970000004921
1,3,ips,4,63,28.0,69.0,1.0,0.55,1.0,1.523285900000701
1,3,ips,4,64,14.0,24.0,1.0,0.55,1.0,1.65856789999998
1,3,ips,4,65,28.0,55.0,1.0,0.55,2.0,0.8375343000006836
1,3,ips,4,66,7.0,15.0,1.0,0.55,2.0,2.4649031000008392
1,3,ips,4,67,28.0,62.0,1.0,0.55,2.0,1.20761500000026
1,3,ips,4,68,14.0,43.0,1.0,0.55,2.0,1.7344157000007243
1,3,ips,4,69,7.0,19.0,1.0,0.55,2.0,1.4418726999992941
1,3,ips,4,70,14.0,31.0,1.0,0.55,1.0,2.411229400000593
1,3,ips,4,71,34.0,14.0,0.55,1.0,1.0,2.2557225000000187
1,3,ips,4,72,62.0,28.0,0.55,1.0,2.0,1.1393911000004664
1,3,ips,4,73,69.0,28.0,0.55,1.0,1.0,2.1746761000003687
1,3,ips,4,74,19.0,10.0,0.55,1.0,2.0,0.8718181000003824
1,3,ips,4,75,43.0,14.0,0.55,1.0,1.0,1.0517723000002377
1,3,ips,4,76,21.0,7.0,0.55,1.0,1.0,2.1906066000001374
1,3,ips,4,77,34.0,14.0,0.55,1.0,2.0,1.0708076000000801
1,3,ips,4,78,44.0,20.0,0.55,1.0,2.0,0.9414983000006032
1,3,ips,4,79,30.0,10.0,0.55,1.0,1.0,1.2918540000000576
1,3,ips,4,80,69.0,28.0,0.55,1.0,2.0,1.6539669000003414
1,3,ips,5,81,10.0,19.0,1.0,0.55,2.0,1.866521300000386
1,3,ips,5,82,14.0,27.0,1.0,0.55,2.0,1.7903045000002749
1,3,ips,5,83,28.0,49.0,1.0,0.55,2.0,2.196093900000051
1,3,ips,5,84,7.0,12.0,1.0,0.55,1.0,2.24595649999992
1,3,ips,5,85,10.0,30.0,1.0,0.55,2.0,1.312173399999665
1,3,ips,5,86,28.0,49.0,1.0,0.55,1.0,1.2339817000001574
1,3,ips,5,87,14.0,24.0,1.0,0.55,1.0,0.9726739000007143
1,3,ips,5,88,28.0,77.0,1.0,0.55,2.0,1.2191315999998409
1,3,ips,5,89,10.0,24.0,1.0,0.55,2.0,1.1258947999995144
1,3,ips,5,90,7.0,21.0,1.0,0.55,2.0,1.9794376999998349
1,3,ips,5,91,13.0,7.0,0.55,1.0,2.0,0.6065163999992365
1,3,ips,5,92,55.0,28.0,0.55,1.0,1.0,1.6350222000000656
1,3,ips,5,93,19.0,7.0,0.55,1.0,1.0,0.6809402999997474
1,3,ips,5,94,27.0,14.0,0.55,1.0,1.0,1.9557500000001085
1,3,ips,5,95,49.0,20.0,0.55,1.0,1.0,1.5112603999996281
1,3,ips,5,96,55.0,20.0,0.55,1.0,1.0,1.0233182000001761
1,3,ips,5,97,17.0,7.0,0.55,1.0,1.0,0.841807499999959
1,3,ips,5,98,15.0,7.0,0.55,1.0,1.0,2.865720599999804
1,3,ips,5,99,77.0,28.0,0.55,1.0,1.0,0.5898118000004615
1,3,ips,5,100,17.0,7.0,0.55,1.0,1.0,0.7319222999994963
1,3,ips,6,101,14.0,38.0,1.0,0.55,2.0,2.0673634000004313
1,3,ips,6,102,10.0,22.0,1.0,0.55,1.0,0.9902295000001686
